Displacement_(mm),Force_(kN)
-13.7152,11.6936
-13.6893,11.6807
-13.686,11.6839
-13.6795,11.6709
-13.6666,11.6969
-13.6503,11.6936
-13.6341,11.7066
-13.6406,11.7001
-13.6081,11.7099
-13.6016,11.7001
-13.5724,11.6904
-13.5757,11.6839
-13.5562,11.7066
-13.5237,11.7001
-13.5172,11.6839
-13.501,11.6969
-13.4945,11.6872
-13.4913,11.6904
-13.4685,11.7001
-13.4263,11.7066
-13.4296,11.7034
-13.4231,11.6936
-13.4068,11.6677
-13.3906,11.7001
-13.3939,11.7099
-13.3582,11.7099
-13.3549,11.7001
-13.3322,11.7196
-13.3289,11.7131
-13.3062,11.7196
-13.2965,11.7066
-13.2802,11.7001
-13.264,11.7001
-13.2121,11.7196
-13.2218,11.7131
-13.2186,11.7229
-13.1893,11.7099
-13.1926,11.7131
-13.1796,11.6872
-13.1666,11.7066
-13.1439,11.7066
-13.1374,11.6969
-13.1244,11.7326
-13.092,11.7164
-13.1147,11.7391
-13.0855,11.7164
-13.0562,11.7066
-13.053,11.7229
-13.027,11.7261
-12.9653,11.6709
-12.9978,11.7261
-12.9751,11.7131
-12.9783,11.7099
-12.9718,11.7261
-12.9231,11.7131
-12.9231,11.7131
-12.9134,11.7164
-12.8939,11.7099
-12.8777,11.7196
-12.8745,11.7066
-12.8582,11.7294
-12.8355,11.7261
-12.8225,11.7164
-12.8063,11.7326
-12.816,11.7001
-12.8128,11.7229
-12.79,11.7423
-12.7608,11.7196
-12.7543,11.7294
-12.7284,11.7326
-12.7284,11.7164
-12.7121,11.7326
-12.6992,11.7261
-12.6797,11.7164
-12.6472,11.7326
-12.6407,11.7456
-12.6375,11.7326
-12.6212,11.7358
-12.6083,11.7099
-12.5985,11.7326
-12.5628,11.7261
-12.5596,11.7326
-12.5401,11.7488
-12.5271,11.7326
-12.5303,11.7456
-12.5044,11.7099
-12.5271,11.7326
-12.4816,11.7391
-12.4557,11.7391
-12.433,11.7456
-12.4427,11.7391
-12.4102,11.7294
-12.407,11.7196
-12.3908,11.7456
-12.3583,11.7521
-12.3518,11.7261
-12.3421,11.7294
-12.3453,11.7229
-12.3063,11.7196
-12.2966,11.7294
-12.2966,11.7326
-12.2869,11.7391
-12.2512,11.7553
-12.2447,11.7423
-12.2349,11.7488
-12.2155,11.7294
-12.2187,11.7294
-12.1895,11.7488
-12.17,11.7456
-12.1635,11.7423
-12.1343,11.7553
-12.1343,11.7423
-12.1148,11.7294
-12.1018,11.7456
-12.0953,11.7196
-12.0856,11.7391
-12.0596,11.7196
-12.0531,11.7456
-12.0402,11.7488
-12.0012,11.7521
-12.0077,11.7423
-11.9915,11.7456
-11.9752,11.7521
-11.972,11.7326
-11.9298,11.7391
-11.9233,11.7488
-11.9006,11.7651
-11.9071,11.7358
-11.8941,11.7423
-11.9071,11.7618
-11.8551,11.7521
-11.8454,11.7586
-11.8389,11.7391
-11.8162,11.7521
-11.8226,11.7294
-11.7999,11.7326
-11.7772,11.7294
-11.7642,11.7553
-11.7447,11.7358
-11.7188,11.7488
-11.7188,11.7456
-11.696,11.7423
-11.6668,11.7521
-11.6603,11.7488
-11.6409,11.7586
-11.6473,11.7391
-11.6181,11.7294
-11.6019,11.7423
-11.5824,11.7521
-11.5792,11.7488
-11.5694,11.7488
-11.5564,11.7391
-11.5435,11.7521
-11.5337,11.7488
-11.5013,11.7423
-11.5013,11.7488
-11.4785,11.7456
-11.485,11.7716
-11.4493,11.7618
-11.4396,11.7456
-11.4201,11.7521
-11.4071,11.7553
-11.4039,11.7261
-11.3714,11.7423
-11.3714,11.7683
-11.3422,11.7586
-11.3357,11.7521
-11.326,11.7488
-11.3097,11.7423
-11.3065,11.7553
-11.287,11.7358
-11.2708,11.7456
-11.2545,11.7456
-11.2156,11.7651
-11.2286,11.7423
-11.2221,11.7553
-11.1864,11.7521
-11.1896,11.7586
-11.1799,11.7683
-11.1604,11.7748
-11.1539,11.7456
-11.1214,11.7683
-11.1085,11.7586
-11.1052,11.7553
-11.0922,11.7326
-11.0695,11.7488
-11.0857,11.7553
-11.05,11.7586
-11.0241,11.7618
-11.0208,11.7488
-10.9851,11.7521
-10.9851,11.7358
-10.9721,11.7358
-10.9591,11.7456
-10.9591,11.7391
-10.9429,11.7521
-10.9007,11.7521
-10.9007,11.7391
-10.8942,11.7488
-10.8747,11.7618
-10.865,11.7553
-10.852,11.7488
-10.839,11.7488
-10.8163,11.7488
-10.8001,11.7456
-10.8098,11.7423
-10.7708,11.7521
-10.7611,11.7423
-10.7449,11.7261
-10.7351,11.7521
-10.7124,11.7358
-10.6994,11.7391
-10.6767,11.7488
-10.6735,11.7423
-10.6475,11.7456
-10.6377,11.7456
-10.6377,11.7261
-10.6215,11.7618
-10.6118,11.7456
-10.5761,11.7553
-10.5696,11.7358
-10.5663,11.7358
-10.5339,11.7456
-10.5306,11.7196
-10.5241,11.7423
-10.5111,11.7521
-10.4982,11.7261
-10.4657,11.7423
-10.4657,11.7326
-10.4624,11.7326
-10.4365,11.7326
-10.4202,11.7261
-10.4073,11.7358
-10.3748,11.7358
-10.404,11.7358
-10.3651,11.7326
-10.3488,11.7229
-10.3391,11.7326
-10.3326,11.7358
-10.3196,11.7391
-10.2774,11.7358
-10.2644,11.7553
-10.2612,11.7391
-10.2384,11.7391
-10.2449,11.7229
-10.2157,11.7099
-10.18,11.7229
-10.1833,11.7294
-10.1768,11.7553
-10.1768,11.7099
-10.1476,11.7229
-10.1281,11.7294
-10.1183,11.7294
-10.0956,11.7196
-10.0989,11.7358
-10.0794,11.7196
-10.0502,11.7066
-10.0469,11.7358
-10.0242,11.7358
-10.0209,11.7358
-9.9917,11.7261
-9.9852,11.7131
-9.9722,11.7196
-9.9528,11.7196
-9.9365,11.7131
-9.9171,11.7099
-9.9171,11.7164
-9.9008,11.7196
-9.8878,11.7099
-9.8814,11.7196
-9.8651,11.7131
-9.8392,11.7164
-9.8132,11.7391
-9.8132,11.7066
-9.7937,11.7034
-9.8002,11.6969
-9.771,11.7196
-9.758,11.7001
-9.7547,11.6936
-9.7385,11.6904
-9.7125,11.7131
-9.6931,11.7001
-9.6898,11.6709
-9.6768,11.6839
-9.6671,11.6936
-9.6476,11.7001
-9.6281,11.6677
-9.6184,11.6904
-9.6184,11.6742
-9.5859,11.6644
-9.5924,11.6839
-9.5405,11.6807
-9.5697,11.6742
-9.5308,11.6742
-9.5178,11.6742
-9.5178,11.6774
-9.4918,11.6547
-9.5015,11.6644
-9.4626,11.645
-9.4593,11.6352
-9.4204,11.6482
-9.4204,11.6287
-9.4009,11.645
-9.3879,11.619
-9.3684,11.6417
-9.3619,11.6222
-9.349,11.6222
-9.3522,11.619
-9.3197,11.6222
-9.284,11.6125
-9.2775,11.6125
-9.2678,11.5995
-9.2646,11.5898
-9.2581,11.5833
-9.2256,11.5865
-9.2191,11.58
-9.2159,11.5573
-9.1834,11.5476
-9.1574,11.5541
-9.1509,11.5378
-9.1509,11.5183
-9.125,11.5281
-9.112,11.5248
-9.0893,11.4989
-9.0893,11.5086
-9.0698,11.4924
-9.0535,11.4697
-9.0535,11.4697
-9.0276,11.4697
-9.0178,11.4339
-8.9984,11.4242
-8.9691,11.4242
-8.9594,11.408
-8.9497,11.395
-8.9237,11.3852
-8.9269,11.3788
-8.9172,11.343
-8.8945,11.3366
-8.8782,11.3236
-8.8847,11.3041
-8.862,11.2944
-8.8425,11.2457
-8.8425,11.2457
-8.8198,11.2197
-8.8036,11.2099
-8.7873,11.1742
-8.7809,11.1515
-8.7419,11.1385
-8.7419,11.1093
-8.7289,11.0996
-8.7257,11.0249
-8.6964,11.0184
-8.6478,10.9989
-8.6705,10.9535
-8.6478,10.934
-8.6445,10.908
-8.6218,10.8756
-8.6218,10.8236
-8.5893,10.7944
-8.5763,10.7425
